Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-04-18,166.3103092998,165.6484764819,168.1959472294,164.9580746846
ETH,2019-04-19,173.6138263386,166.7711375686,175.9973429248,166.2979098236
ETH,2019-04-20,173.3950037969,174.1652914363,174.7232331613,169.8921115675
ETH,2019-04-21,173.2030204958,173.3950038009,178.199952396,171.5048713074
ETH,2019-04-22,170.1608502648,173.2030202321,174.6680259178,166.8837057203
ETH,2019-04-23,172.812843947,170.2137798213,173.7226492564,168.6895010693
ETH,2019-04-24,171.8396593111,172.812843947,176.6144827855,169.3852631974
ETH,2019-04-25,166.1931801761,171.831364664,172.0982144692,162.7420444046
ETH,2019-04-26,154.2475257909,166.1931789145,167.2456154369,150.0683729287
ETH,2019-04-27,153.910298909,152.7665865714,156.5630716584,149.2671165999
ETH,2019-04-28,157.4083036403,153.9102919492,159.137838725,153.1744018146
ETH,2019-04-29,154.8280849561,157.4083036403,157.4083036403,153.9904273639
ETH,2019-04-30,153.6813136507,154.5353050265,156.4159373928,150.1627163138
ETH,2019-05-01,161.2913028726,153.5656808557,162.0022795529,153.5621438649
ETH,2019-05-02,157.8012725593,161.2913028726,163.4850411628,157.5398057483
ETH,2019-05-03,160.9700952503,158.8186778416,161.7107498942,157.4255982996
ETH,2019-05-04,166.1339035393,160.9700952572,169.4580391735,159.387654319
ETH,2019-05-05,163.890699755,166.2612587023,169.0984117984,159.4444312922
ETH,2019-05-06,162.934863507,163.0249997935,164.4565507075,158.957622265
ETH,2019-05-07,173.6051180015,162.9348543551,176.1419967011,159.4688469205
ETH,2019-05-08,173.8130613629,171.4987986882,180.9202927093,169.1960998816
ETH,2019-05-09,170.8984032061,167.5929449797,172.4007052503,164.0970315199
ETH,2019-05-10,170.9917808828,170.8987343371,173.6213547382,166.7188905747
ETH,2019-05-11,174.1020004617,171.0468296904,176.9262576634,169.0667092196
ETH,2019-05-12,200.4883683545,173.168519845,201.074413173,173.1673539981
ETH,2019-05-13,188.3712623426,193.5311125225,203.9942529651,183.4799912987
ETH,2019-05-14,197.3040943897,188.3712623426,208.6716873929,186.685825369
ETH,2019-05-15,217.0781324372,197.299574602,217.1880134034,193.3100007634
ETH,2019-05-16,246.8264233208,218.4421332696,247.0957860801,218.2680924277
ETH,2019-05-17,260.330209153,246.8210856379,279.8812675402,243.6837211193
ETH,2019-05-18,239.4492648672,260.3314923783,269.7984664495,224.8613404507
ETH,2019-05-19,238.9319910237,246.883233199,250.7455078375,233.9096323688
ETH,2019-05-20,263.4469652197,236.8134683847,263.9456184207,235.7462827376
ETH,2019-05-21,250.0415313451,263.4497712327,265.7310339819,238.6343525268
ETH,2019-05-22,255.8952567008,251.9595336965,263.4778804164,247.662872757
ETH,2019-05-23,246.4173094087,255.895224084,261.0659458043,240.1637603132
ETH,2019-05-24,245.9878269594,246.4075580041,248.3938023785,231.6547624151
ETH,2019-05-25,250.518148071,245.405348293,255.7286147108,242.3041411046
